Case, TestID, Category, ReleaseID, BuildID, ComponentID, TestRun, CPS, HPS, ThroughputRX, ThroughputTX
CPS,Performance_cps_128User_OEF_010,performance,3.9.7,24,NS,TR22996,64112,64112,211357,167132
CPS,Performance_cps_128User_OEF_010_HPM,performance,3.9.7,24,NS,TR22997,64144,64143,229260,182706
CPS,Performance_cps_128User_OEF_011_HPM,performance,3.9.7,24,NS,TR22998,75305,75305,210613,200575
CPS,Performance_cps_128User_OEF_111_HPM,performance,3.9.7,24,NS,TR22999,84828,84829,237982,177067
