TestID, TestRun, Release_Id, Build_Id, Component_Id, Status, Catagory, Description
SMOKE-003-001,6060,4.1.3,9,NetStorm,pass,1,Autofetch one main url five autofetch url Passed
SMOKE-003-002,6061,4.1.3,9,NetStorm,pass,1,Autofetch disabled Passed
SMOKE-003-003,6062,4.1.3,9,NetStorm,pass,1,Autofetch enabled two embedded url Passed
SMOKE-003-004,6063,4.1.3,9,NetStorm,pass,1,Autofetch disabled two embedded url Passed
SMOKE-003-005,6064,4.1.3,9,NetStorm,pass,1,G_INLINE_INCLUDE_DOMAIN_PATTERN Passed
SMOKE-003-006,6065,4.1.3,9,NetStorm,fail,1,G_INLINE_EXCLUDE_DOMAIN_PATTERN Failed
SMOKE-003-007,6066,4.1.3,9,NetStorm,pass,1,G_INLINE_INCLUDE_URL_PATTERN ALL Passed
SMOKE-003-008,6067,4.1.3,9,NetStorm,pass,1,G_INLINE_EXCLUDE_URL_PATTERN ALL Passed

Failed: 1 test(s), Passed: 7 test(s), Total: 8 test(s)
