#testcaseid,testrun,componentid,catagoryid,status,description
SMOKE-001-001,85376,1,1,pass,ns_save_string() api Passed
SMOKE-001-002,85377,1,1,pass,ns_eval_string() Passed
SMOKE-001-003,85378,1,1,pass,ns_adv_param() Passed
SMOKE-001-004,85379,1,1,pass,ns_adv_param() negative condition Passed
SMOKE-001-005,85380,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-006,85381,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-007,85382,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-008,85383,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-009,85384,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-010,85385,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-011,85386,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-012,85387,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-013,85388,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-014,85389,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-015,85390,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-016,85391,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-017,85392,1,1,pass,Smoke_SET_INT_VAL_API_TEST Passed
SMOKE-001-018,85393,1,1,pass,Smoke_GET_INT_VAL_API_TEST Passed
SMOKE-001-019,85394,1,1,pass,Smoke_GET_RANDOM_STR_API_TEST Passed
SMOKE-001-020,85395,1,1,pass,Smoke_GETTERS_API_TEST Passed
SMOKE-001-021,85396,1,1,pass,Smoke_CHK_STR_CPY_API_TEST Passed
SMOKE-001-024,85397,1,1,pass,Passed for ns_get_url_resp_msg
SMOKE-002-001,85398,1,1,pass,Http authentication basic for apache main param session Passed
SMOKE-002-002,85399,1,1,pass,Http authentication basic for apache main param use Passed
SMOKE-002-003,85400,1,1,pass,Http authentication basic for apache for Page Dump Passed
SMOKE-002-004,85401,1,1,pass,Http authentication basic main with keep alive Passed
SMOKE-002-005,85402,1,1,pass,Http authentication basic main cvfail without keepalive Passed
SMOKE-003-001,85403,1,1,pass,Autofetch one main url five autofetch url Passed
SMOKE-003-002,85404,1,1,pass,Autofetch disabled Passed
SMOKE-003-003,85405,1,1,pass,Autofetch enabled two embedded url Passed
SMOKE-003-004,85406,1,1,pass,Autofetch disabled two embedded url Passed
SMOKE-003-005,85407,1,1,pass,Autofetch Inline Include Domain Passed
SMOKE-003-006,85408,1,1,pass,Autofetch Inline Exclude Domain Passed
SMOKE-003-007,85409,1,1,pass,Autofetch Inline Include Url Pattern Passed
SMOKE-003-008,85410,1,1,pass,Autofetch Inline Exclude Url Pattern Passed
SMOKE-003-009,85411,1,1,fail,jsp based url being requested after excluding jsp based pattern
SMOKE-003-010,85412,1,1,fail,No jsp based url being requested after including jsp based pattern
SMOKE-003-011,85413,1,1,pass,js based url were not requested after excluding js+ based pattern
SMOKE-003-012,85414,1,1,pass,jsp inlines have been filtered out but js being included for js? pattern
SMOKE-003-013,85415,1,1,pass,only js and jsp based inlines have been requested for including jsp? pattern
SMOKE-003-014,85416,1,1,fail,some of js or jsp inlines have not been included for js* pattern
SMOKE-003-015,85417,1,1,pass,jsp and js both inlines have been included for j[sp]+ pattern
SMOKE-003-016,85418,1,1,pass,PostURLCallBack for set embed objects api;mode zero;not implemented
SMOKE-003-017,85419,1,1,pass,PostURLCallBack for set embd objects api;mode one;not implemented
