#testcaseid,testrun,componentid,catagoryid,status,description
SMOKE-001-001,32683,1,1,pass,ns_save_string() api Passed
SMOKE-001-002,32684,1,1,pass,ns_eval_string() Passed
SMOKE-001-003,32685,1,1,pass,ns_adv_param() Passed
SMOKE-001-004,32686,1,1,pass,ns_adv_param() negative condition Passed
SMOKE-001-005,32687,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-006,32688,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-007,32689,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-008,32690,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-009,32691,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-010,32692,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-011,32693,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-012,32694,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-013,32695,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-014,32696,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-015,32697,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-016,32698,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-017,32699,1,1,pass,Smoke_SET_INT_VAL_API_TEST Passed
SMOKE-001-018,32700,1,1,pass,Smoke_GET_INT_VAL_API_TEST Passed
SMOKE-001-019,32701,1,1,pass,Smoke_GET_RANDOM_STR_API_TEST Passed
SMOKE-001-020,32702,1,1,pass,Smoke_GETTERS_API_TEST Passed
SMOKE-001-021,32703,1,1,pass,Smoke_CHK_STR_CPY_API_TEST Passed
SMOKE-003-001,32704,1,1,pass,Autofetch one main url five autofetch url Passed
SMOKE-003-002,32705,1,1,pass,Autofetch disabled Passed
SMOKE-003-003,32706,1,1,pass,Autofetch enabled two embedded url Passed
SMOKE-003-004,32707,1,1,pass,Autofetch disabled two embedded url Passed
SMOKE-003-005,32708,1,1,pass,Autofetch Inline Include Domain Passed
SMOKE-003-006,32709,1,1,pass,Autofetch Inline Exclude Domain Passed
SMOKE-003-007,32710,1,1,pass,Autofetch Inline Include Url Pattern Passed
SMOKE-003-008,32711,1,1,pass,Autofetch Inline Exclude Url Pattern Passed
SMOKE-003-009,32712,1,1,pass,No jsp based url being requested after excluding jsp based pattern
SMOKE-003-010,32713,1,1,pass,jsp based url being requested after including jsp based pattern
SMOKE-003-011,32714,1,1,pass,js based url were not requested after excluding js+ based pattern
SMOKE-003-012,32715,1,1,pass,jsp inlines have been filtered out but js being included for js? pattern
SMOKE-003-013,32716,1,1,pass,only js and jsp based inlines have been requested for including jsp? pattern
SMOKE-003-014,32717,1,1,pass,jsp and js both inlines have been included for js* pattern
SMOKE-003-015,32718,1,1,pass,jsp and js both inlines have been included for j[sp]+ pattern
SMOKE-003-016,32719,1,1,pass,PostURLCallBack for set embed objects api;mode zero;not implemented
SMOKE-003-017,32720,1,1,pass,PostURLCallBack for set embd objects api;mode one;not implemented
SMOKE-003-018,32721,1,1,pass,PostURLCallBack for set embd objects api;url redirection;not implemented
SMOKE-004-001,32722,1,1,pass,Auto Redirect 10 Depth Server URL and Scenario 2 Depth Redirection Passed
SMOKE-004-002,32723,1,1,pass,Auto Redirect One Depth Server URL with relative path Passed
SMOKE-004-003,32724,1,1,pass,Auto Redirect For Different Host Test Passed
SMOKE-004-004,32725,1,1,pass,Auto Redirect For Relative To Absolute redirection Passed
SMOKE-004-005,32726,1,1,pass,Auto Redirect For Different Protocol Url Passed
SMOKE-004-006,32727,1,1,pass,Validation passed for Manual redirection testcase
SMOKE-005-003,32728,1,1,pass,Four URL Test with expiry code and cookie mode 1  Passed
SMOKE-005-004,32729,1,1,pass,Two URL Test with command line cookie and cookie mode 1 Passed
SMOKE-006-001,32730,1,1,pass,KeepAlive with percentage 100 Passed
SMOKE-006-002,32731,1,1,pass,KeepAlive with percentage 0 Passed
SMOKE-007-001,32732,1,1,pass,One Url MultiPart With Boundary Passed
SMOKE-007-002,32733,1,1,pass,One Url MultiPart Without Boundary Passed
SMOKE-007-003,32734,1,1,pass,One Url MultiPart Nested Boundries Passed
SMOKE-008-011,32735,1,1,pass,page think time mode 4 testcase passed for all groups and all pages
SMOKE-008-012,32736,1,1,pass,page think time mode 4 testcase passed where function returns a random value from an initalized array
SMOKE-009-001,32737,1,1,pass,Search in two main url Passed
SMOKE-009-002,32738,1,1,pass,Search in two main url with savelength mode Passed
SMOKE-009-003,32739,1,1,pass,Search for two main url with save length and save offset mode  Passed
SMOKE-009-004,32740,1,1,pass,Search for two main url with save length and save offset mode Passed
SMOKE-009-005,32741,1,1,pass,Search for two main url with save length and save offset mode in 2 pages Passed
SMOKE-009-006,32742,1,1,pass,Search for two main url with save length and save offset mode in 2 pages Passed
SMOKE-009-007,32743,1,1,pass,Checkpoint with two main url check value found Passed
SMOKE-009-008,32744,1,1,pass,Checkpoint with two main url check value not found Passed
SMOKE-009-009,32745,1,1,pass,Checkpoint with two main url check value with prefix and suffix found Passed
SMOKE-009-010,32746,1,1,pass,Checkpoint with two main url check value with prefix and suffix not found Passed
SMOKE-009-011,32747,1,1,pass,Checkpoint with two main url check value with prefix and suffix found and ActionOnfailContinue Passed
SMOKE-009-012,32748,1,1,pass,Checkpoint with two main url check value with prefix and suffix not found ActionOnfailStop Passed
SMOKE-009-013,32749,1,1,pass,Checkpoint with two main url check value with prefix and suffix found comparing from a file Passed
SMOKE-009-014,32750,1,1,pass,Checkpoint with two main url check value with prefix and suffix not found Passed
SMOKE-009-015,32751,1,1,pass,File Parameter 5 main url ChangeOnUse Passed
SMOKE-009-016,32752,1,1,pass,File Parameter 5 main url ChangeOnSession Passed
SMOKE-009-017,32753,1,1,pass,File Parameter 5 url ModeWeighted Passed
SMOKE-009-018,32754,1,1,pass,Serach Param for two main url Passed
SMOKE-009-019,32755,1,1,pass,Search Param for 5 url with single page search savelenght and saveoffset and ORD all Passed
SMOKE-010-001,32756,1,1,pass,DNS A type query Passed
SMOKE-010-002,32757,1,1,pass,DNS AAAA type query Passed
SMOKE-010-003,32758,1,1,pass,DNS MX type query Passed
SMOKE-010-004,32759,1,1,pass,DNS NS type query Passed
SMOKE-010-005,32760,1,1,pass,DNS SOA type query Passed
SMOKE-010-006,32761,1,1,pass,DNS PTR type query Passed
SMOKE-010-007,32762,1,1,pass,DNS CNAME type query Passed
SMOKE-010-008,32763,1,1,pass,POP3 testcase Passed
SMOKE-010-009,32764,1,1,pass,Ftp test for text data and passive mode Passed
SMOKE-010-010,32765,1,1,pass,Ftp test for binary data and passive mode Passed
SMOKE-010-011,32766,1,1,pass,Ftp test for text data and active mode Passed
SMOKE-010-012,32767,1,1,pass,Ftp test for binary data and active mode Passed
SMOKE-010-013,32768,1,1,pass,SMTP test Passed
SMOKE-010-014,32769,1,1,pass,IMAP test for FETCH HEADER Passed
SMOKE-010-015,32770,1,1,pass,IMAP test for FETCH TEXT Passed
SMOKE-010-016,32771,1,1,pass,IMAP test for FETCH BODY Passed
SMOKE-010-017,32772,1,1,pass,Hessian Protocol version 1.0 Test Passed
SMOKE-010-018,32773,1,1,pass,Hessian Protocol version 2.0 Test Passed
SMOKE-012-001,32774,1,1,pass,Runlogic for percentaged block flow test Passed
SMOKE-012-002,32775,1,1,pass,Runlogic for percentaged block flow test Passed
SMOKE-012-003,32776,1,1,pass,Runlogic for percentaged block flow test Passed
SMOKE-012-004,32777,1,1,pass,Runlogic for sequence flows test Passed
SMOKE-012-005,32778,1,1,pass,Runlogic for handle_switch_case block test Passed
SMOKE-012-006,32779,1,1,pass,Runlogic for handle_switch_case block test Passed
SMOKE-012-007,32780,1,1,pass,Runlogic for handle_switch_case block test Passed
SMOKE-012-008,32781,1,1,pass,Runlogic for handle_switch_case block test Passed
SMOKE-012-009,32782,1,1,pass,Runlogic for handle_switch_case block test Passed
