Transaction Name|Min (sec)|Avg (sec)|Max (sec)|Std Dev|Attempted|Success|Failure (%)|Completed (Per sec)
hpd_page1_trans1| 0.000| 0.003| 0.209| 0.005|11347|11347| 0.000| 7.311
hpd_page2_trans2| 0.000| 0.001| 0.113| 0.002|11347|11347| 0.000| 7.311
hpd_page3_trans3| 0.000| 0.002| 0.114| 0.004|11347|11347| 0.000| 7.311
hpd_page4_trans4| 0.000| 0.002| 0.131| 0.004|11347|11347| 0.000| 7.311
hpd_page5_trans5| 0.000| 0.002| 0.105| 0.004|11347|11347| 0.000| 7.311
hpd_page6_trans6| 0.000| 0.003| 0.294| 0.006|11347|11347| 0.000| 7.311
hpd_page7_trans7| 0.000| 0.001| 0.088| 0.003|11347|11347| 0.000| 7.311
hpd_ex_login| 1.002| 2.504| 4.016| 0.867|13299|13299| 0.000| 8.568
hpd_ex_findflight| 0.000| 0.002| 0.203| 0.005|13299|13299| 0.000| 8.568
hpd_ex_reservation| 1.001| 2.506| 4.163| 0.868|13299|13299| 0.000| 8.568
hpd_ex_logout| 0.000| 0.001| 0.202| 0.005|13299|13299| 0.000| 8.568
hpd_ssl_page1_trans1| 0.000| 0.003| 0.204| 0.006|41659|41659| 0.000|26.840
hpd_ssl_page2_trans2| 0.000| 0.001| 0.144| 0.002|41659|41659| 0.000|26.840
hpd_ssl_page3_trans3| 0.000| 0.002| 0.113| 0.004|41659|41659| 0.000|26.840
hpd_ssl_page4_trans4| 0.000| 0.002| 0.194| 0.004|41659|41659| 0.000|26.840
hpd_ssl_page5_trans5| 0.000| 0.002| 0.152| 0.004|41659|41659| 0.000|26.840
hpd_ssl_page6_trans6| 0.000| 0.002| 0.097| 0.003|41659|41659| 0.000|26.840
hpd_ssl_page7_trans7| 0.000| 0.001| 0.078| 0.002|41659|41659| 0.000|26.840
static1K_page1_trans1| 0.000| 0.001| 0.133| 0.003|10171|10171| 0.000| 6.553
static1K_ex_page1_trans1| 0.000| 0.001| 0.083| 0.002|26678|26678| 0.000|17.188
ALL| 0.000| 0.146| 4.163| 0.620|461087|461087| 0.000|297.067
