TestID,Release_Id,Build_Id,Component_Id,Status,Catagory,Description
Smoke_Sync_Point_BeforeFirstTrans_10U_alluser_release,4.1.3,5,NetStorm,pass,smoke,Smoke_Sync_Point_BeforeFirstTrans_10U_alluser_release Passed
Smoke_Sync_Point_BeforeFirstTrans_10U_5user_release,4.1.3,5,NetStorm,pass,smoke,Smoke_Sync_Point_BeforeFirstTrans_10U_5user_release Passed
Smoke_Sync_Point_BeforeFirstTrans_10U_20user_release_TimeOut,4.1.3,5,NetStorm,pass,smoke,Smoke_Sync_Point_BeforeFirstTrans_10U_20user_release_TimeOut Passed
Smoke_Sync_Point_InBetweenTrans_10U_alluser_release,4.1.3,5,NetStorm,pass,smoke,Smoke_Sync_Point_InBetweenTrans_10U_alluser_release Passed
Smoke_Sync_Point_BeforeFirstPage_10U_alluser_release,4.1.3,5,NetStorm,pass,smoke,Smoke_Sync_Point_BeforeFirstPage_10U_alluser_release Passed
Smoke_Sync_Point_InBtweenPage_10U_5user_release,4.1.3,5,NetStorm,pass,smoke,Smoke_Sync_Point_InBtweenPage_10U_5user_release Passed
Smoke_RunLogic_Percentage_1,4.1.3,5,NetStorm,pass,smoke,Smoke_RunLogic_Percentage_1 Passed
Smoke_RunLogic_Percentage_2,4.1.3,5,NetStorm,pass,smoke,Smoke_RunLogic_Percentage_2 Passed
Smoke_RunLogic_Percentage_3,4.1.3,5,NetStorm,pass,smoke,Smoke_RunLogic_Percentage_3 Passed
Smoke_RunLogic_Sequence,4.1.3,5,NetStorm,pass,smoke,Smoke_RunLogic_Sequence Passed
Smoke_RunLogic_Switch_default_negtvOne,4.1.3,5,NetStorm,pass,smoke,Smoke_RunLogic_Switch_default_negtvOne Passed
Smoke_RunLogic_Switch_zero,4.1.3,5,NetStorm,pass,smoke,Smoke_RunLogic_Switch_zero Passed
Smoke_RunLogic_Switch_one,4.1.3,5,NetStorm,pass,smoke,Smoke_RunLogic_Switch_one Passed
Smoke_RunLogic_Switch_negtvTwo,4.1.3,5,NetStorm,pass,smoke,Smoke_RunLogic_Switch_negtvTwo Passed
Smoke_RunLogic_Switch_default_five,4.1.3,5,NetStorm,pass,smoke,Smoke_RunLogic_Switch_default_five Passed

Failed: 0 test(s), Passed: 0 test(s), Total: 15 test(s)
