TestID,Release_Id,Build_Id,Component_Id,Status,Catagory,Description
Smoke_TenDSrvrURL_Sce2Dep,4.1.3,5,NetStorm,PASS,Smoke,Smoke_TenDSrvrURL_Sce2Dep passed
Smoke_OneDSrvr_RelativePath,4.1.3,5,NetStorm,PASS,Smoke,Smoke_OneDSrvr_RelativePath passed
Smoke_DifHost_Redirection,4.1.3,5,NetStorm,PASS,Smoke,Smoke_DifHost_Redirection passed
Smoke_RltvToObslt_Redirection,4.1.3,5,NetStorm,PASS,Smoke,Smoke_RltvToObslt_Redirection passed
Smoke_DifProto_Redirection,4.1.3,5,NetStorm,PASS,Smoke,Smoke_DifProto_Redirection passed
Smoke_AF_OneMain_FiveAFURL,4.1.3,5,NetStorm,PASS,Smoke,Smoke_AF_OneMain_FiveAFURL Passed
Smoke_AF_OneMain_FiveAFedURL_AFOFF,4.1.3,5,NetStorm,PASS,Smoke,Smoke_AF_OneMain_FiveAFedURL_AFOFF Passed
Smoke_AF_OneMain_FiveAFedURL_TwoEmbd_AFOn,4.1.3,5,NetStorm,PASS,Smoke,Smoke_AF_OneMain_FiveAFedURL_TwoEmbd_AFOn Passed
Smoke_AF_OneMain_FiveAFedURL_TwoEmbd_AFOFF,4.1.3,5,NetStorm,PASS,Smoke,Smoke_AF_OneMain_FiveAFedURL_TwoEmbd_AFOFF Passed
Smoke_TypeA_DNS,4.1.3,5,NetStorm,PASS,Smoke,Smoke_TypeA_DNS Passed
Smoke_TypeAAAA_DNS,4.1.3,5,NetStorm,PASS,Smoke,Smoke_TypeAAAA_DNS Passed
Smoke_TypeMX_DNS,4.1.3,5,NetStorm,PASS,Smoke,Smoke_TypeMX_DNS Passed
Smoke_TypeNS_DNS,4.1.3,5,NetStorm,PASS,Smoke,Smoke_TypeNS_DNS Passed
Smoke_TypeSOA_DNS,4.1.3,5,NetStorm,PASS,Smoke,Smoke_TypeSOA_DNS Passed
Smoke_TypePTR_DNS,4.1.3,5,NetStorm,PASS,Smoke,Smoke_TypePTR_DNS Passed
Smoke_TypeCNAME_DNS,4.1.3,5,NetStorm,PASS,Smoke,Smoke_TypeCNAME_DNS Passed
Smoke_POP3,4.1.3,5,NetStorm,PASS,Smoke,Smoke_POP3 Passed
Smoke_FTP_TXT_TYPE_PASSIVE,4.1.3,5,NetStorm,PASS,Smoke,Smoke_FTP_TXT_TYPE_PASSIVE Passed
Smoke_FTP_BIN_TYPE_PASSIVE,4.1.3,5,NetStorm,PASS,Smoke,Smoke_FTP_BIN_TYPE_PASSIVE Passed
Smoke_FTP_TXT_TYPE_ACTIVE,4.1.3,5,NetStorm,PASS,Smoke,Smoke_FTP_TXT_TYPE_ACTIVE Passed
Smoke_FTP_BIN_TYPE_ACTIVE,4.1.3,5,NetStorm,PASS,Smoke,Smoke_FTP_BIN_TYPE_ACTIVE Passed
Smoke_SMTP,4.1.3,5,NetStorm,PASS,Smoke,Smoke_SMTP Passed
Smoke_IMAP_FETCH_HEADER,4.1.3,5,NetStorm,PASS,Smoke,Smoke_IMAP_FETCH_HEADER Passed
Smoke_IMAP_FETCH_TEXT,4.1.3,5,NetStorm,PASS,Smoke,Smoke_IMAP_FETCH_TEXT Passed
Smoke_IMAP_FETCH_BODY,4.1.3,5,NetStorm,PASS,Smoke,Smoke_IMAP_FETCH_BODY Passed
Smoke_HESSIAN_V1,4.1.3,5,NetStorm,PASS,Smoke,Smoke_HESSIAN_V1 Passed
Smoke_HESSIAN_V2,4.1.3,5,NetStorm,PASS,Smoke,Smoke_HESSIAN_V2 Passed
Smoke_Sync_Point_BeforeFirstTrans_10U_alluser_release,4.1.3,5,NetStorm,PASS,Smoke,Smoke_Sync_Point_BeforeFirstTrans_10U_alluser_release Passed
