#testcaseid,testrun,componentid,catagoryid,status,description
ADH-AES128-SHA_CPS,61822,1,3,pass,ADH-AES128-SHA_CPS Passed
ADH-AES128-SHA_HPS,61823,1,3,pass,ADH-AES128-SHA_HPS Passed
ADH-AES128-SHA_TPUT,61824,1,3,pass,ADH-AES128-SHA_TPUT Passed
ADH-AES256-SHA_CPS,61825,1,3,pass,ADH-AES256-SHA_CPS Passed
ADH-AES256-SHA_HPS,61826,1,3,pass,ADH-AES256-SHA_HPS Passed
ADH-AES256-SHA_TPUT,61827,1,3,pass,ADH-AES256-SHA_TPUT Passed
ADH-CAMELLIA128-SHA_CPS,61828,1,3,pass,ADH-CAMELLIA128-SHA_CPS Passed
ADH-CAMELLIA128-SHA_HPS,61829,1,3,pass,ADH-CAMELLIA128-SHA_HPS Passed
ADH-CAMELLIA128-SHA_TPUT,61830,1,3,pass,ADH-CAMELLIA128-SHA_TPUT Passed
ADH-CAMELLIA256-SHA_CPS,61831,1,3,pass,ADH-CAMELLIA256-SHA_CPS Passed
ADH-CAMELLIA256-SHA_HPS,61832,1,3,pass,ADH-CAMELLIA256-SHA_HPS Passed
ADH-CAMELLIA256-SHA_TPUT,61833,1,3,pass,ADH-CAMELLIA256-SHA_TPUT Passed
ADH-DES-CBC3-SHA_CPS,61834,1,3,pass,ADH-DES-CBC3-SHA_CPS Passed
ADH-DES-CBC3-SHA_HPS,61835,1,3,pass,ADH-DES-CBC3-SHA_HPS Passed
ADH-DES-CBC3-SHA_TPUT,61836,1,3,pass,ADH-DES-CBC3-SHA_TPUT Passed
ADH-DES-CBC-SHA_CPS,61837,1,3,pass,ADH-DES-CBC-SHA_CPS Passed
ADH-DES-CBC-SHA_HPS,61838,1,3,pass,ADH-DES-CBC-SHA_HPS Passed
ADH-DES-CBC-SHA_TPUT,61839,1,3,pass,ADH-DES-CBC-SHA_TPUT Passed
ADH-RC4-MD5_CPS,61840,1,3,pass,ADH-RC4-MD5_CPS Passed
ADH-RC4-MD5_HPS,61841,1,3,pass,ADH-RC4-MD5_HPS Passed
ADH-RC4-MD5_TPUT,61842,1,3,pass,ADH-RC4-MD5_TPUT Passed
ADH-SEED-SHA_CPS,61843,1,3,pass,ADH-SEED-SHA_CPS Passed
