Transaction Name|Min (sec)|Avg (sec)|Max (sec)|Std Dev|Attempted|Success|Failure (%)|Completed (Per sec)
static1K_page1_trans1| 0.000| 0.001| 0.134| 0.004|2273|2273| 0.000| 1.917
hpd_page1_trans1| 0.001| 0.002| 0.119| 0.006|2399|2399| 0.000| 2.023
hpd_page2_trans2| 0.000| 0.001| 0.251| 0.008|2399|2399| 0.000| 2.023
hpd_page3_trans3| 0.000| 0.005| 0.250| 0.015|2399|2399| 0.000| 2.023
hpd_page4_trans4| 0.000| 0.005| 0.205| 0.012|2399|2399| 0.000| 2.023
hpd_page5_trans5| 0.000| 0.004| 0.394| 0.014|2399|2399| 0.000| 2.023
hpd_page6_trans6| 0.000| 0.007| 0.205| 0.018|2399|2399| 0.000| 2.023
hpd_page7_trans7| 0.000| 0.004| 0.254| 0.016|2399|2399| 0.000| 2.023
hpd_ex_login| 0.001| 0.004| 0.214| 0.010|4681|4681| 0.000| 3.948
hpd_ex_findflight| 0.000| 0.004| 0.265| 0.015|4681|4681| 0.000| 3.948
hpd_ex_reservation| 0.001| 0.004| 0.264| 0.012|4681|4681| 0.000| 3.948
hpd_ex_logout| 0.000| 0.001| 0.173| 0.005|4681|4681| 0.000| 3.948
transfail_4xx| 2.046| 3.988| 6.003| 0.806|3167|0|100.000| 0.000
ALL| 0.000| 0.312| 6.003| 1.088|40957|37790| 7.732|31.874
