ProductID,ProductSKU
475631,90197149
475631,90197150
475631,90197151
452951,89988856
452951,89988857
452951,89988858
452951,89988859
452951,89988860
452951,89988861
452951,89988862
452951,89988863
452951,89988864
452951,89988865
452951,89988866
452951,89988867
452951,89988868
452951,89988869
460014,90105436
460014,90105438
460014,90105439
460014,90105440
460014,90105441
460014,90105442
460014,90105443
460014,90105444
460014,90105445
460014,90105446
460014,90105447
460014,90105448
475608,90197036
475608,90197037
475608,90197038
475608,90197039
475608,90197040
475608,90197041
475608,90197042
475608,90197043
475608,90197044
475608,90197045
475608,90197046
475608,90197047
475608,90197048
475608,90197049
475608,90197050
475608,90197051
475608,90197052
475608,90197053
475608,90197054
475608,90197055
475608,90197056
475608,90197057
475608,90197058
475608,90197059
475608,90197060
475608,90197061
475608,90197062
475608,90197063
475608,90197064
475608,90197065
475608,90197066
475608,90197067
475608,90197068
475608,90197069
475608,90197070
475608,90197071
475608,90197072
475608,90197073
475608,90197074
475608,90197075
475608,90197076
475608,90197077
475608,90197094
475608,90197095
475608,90197096
475608,90197097
475608,90197098
475608,90197099
475608,90197100
475608,90197102
475608,90197103
475608,90197104
475608,90197105
475608,90197106
475608,90197107
475608,90197108
475608,90197109
475608,90197110
475608,90197111
475608,90197112
475608,90197113
475608,90197114
475608,90197115
475608,90197124
475608,90197125
475608,90197126
475608,90197127
475608,90197128
475608,90197129
475608,90197130
