#testcaseid,testrun,componentid,catagoryid,status,description
SMOKE-001-001,19662,1,1,pass,ns_save_string() api Passed
SMOKE-001-002,19663,1,1,pass,ns_eval_string() Passed
SMOKE-001-003,19664,1,1,pass,ns_adv_param() Passed
SMOKE-001-004,19665,1,1,pass,ns_adv_param() negative condition Passed
SMOKE-001-005,19666,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-006,19667,1,1,fail,save_data_var or save_data_eval or save_dat_ex api Failed
SMOKE-001-007,19668,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-008,19669,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-009,19670,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-010,19671,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-011,19672,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-012,19673,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-013,19674,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-014,19675,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-015,19676,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-016,19677,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-017,19678,1,1,pass,Smoke_SET_INT_VAL_API_TEST Passed
SMOKE-001-018,19679,1,1,pass,Smoke_GET_INT_VAL_API_TEST Passed
SMOKE-001-019,19680,1,1,pass,Smoke_GET_RANDOM_STR_API_TEST Passed
SMOKE-001-020,19681,1,1,pass,Smoke_GETTERS_API_TEST Passed
SMOKE-001-021,19682,1,1,pass,Smoke_CHK_STR_CPY_API_TEST Passed
SMOKE-001-024,19683,1,1,fail,Failed for ns_get_url_resp_msg; Diff returned 2
SMOKE-002-001,19684,1,1,pass,Http authentication basic for apache main param session Passed
SMOKE-002-002,19685,1,1,pass,Http authentication basic for apache main param use Passed
SMOKE-002-003,19686,1,1,pass,Http authentication basic for apache for Page Dump Passed
SMOKE-002-004,19687,1,1,pass,Http authentication basic main with keep alive Passed
SMOKE-002-005,19688,1,1,pass,Http authentication basic main cvfail without keepalive Passed
SMOKE-003-001,19689,1,1,pass,Autofetch one main url five autofetch url Passed
SMOKE-003-002,19690,1,1,pass,Autofetch disabled Passed
SMOKE-003-003,19691,1,1,pass,Autofetch enabled two embedded url Passed
SMOKE-003-004,19692,1,1,pass,Autofetch disabled two embedded url Passed
SMOKE-003-005,19693,1,1,pass,Autofetch Inline Include Domain Passed
SMOKE-003-006,19694,1,1,pass,Autofetch Inline Exclude Domain Passed
SMOKE-003-007,19695,1,1,pass,Autofetch Inline Include Url Pattern Passed
SMOKE-003-008,19696,1,1,pass,Autofetch Inline Exclude Url Pattern Passed
SMOKE-003-009,19697,1,1,pass,No jsp based url being requested after excluding jsp based pattern
SMOKE-003-010,19698,1,1,pass,jsp based url being requested after including jsp based pattern
SMOKE-003-011,19699,1,1,pass,js based url were not requested after excluding js+ based pattern
SMOKE-003-012,19700,1,1,pass,jsp inlines have been filtered out but js being included for js? pattern
SMOKE-003-013,19701,1,1,pass,only js and jsp based inlines have been requested for including jsp? pattern
