#testcaseid,testrun,componentid,catagoryid,status,description
SMOKE-017-006,56495,1,1,pass,Inline Delay Mode 2 for all groups all pages ;test validation passed
SMOKE-017-007,56496,1,1,pass,Inline Delay Mode 3 for single group single page ;test validation passed
SMOKE-017-008,56497,1,1,pass,Inline Delay Mode 3 for single group all pages ;test validation passed
SMOKE-017-009,56498,1,1,pass,Inline Delay Mode 3 for all groups all pages ;test validation passed
SMOKE-017-010,56499,1,1,pass,Inline Delay Mode 4 for single group single page;test validation passed
SMOKE-017-011,56500,1,1,pass,Inline Delay Mode 4 for single group all pages;test validation passed
SMOKE-017-012,56501,1,1,pass,Inline Delay Mode 4 for all groups all pages;test validation passed
SMOKE-017-013,56502,1,1,pass,inline min connection reuse delay for single group smoke testcase passed
SMOKE-017-014,56503,1,1,pass,inline min connection reuse delay for all groups smoke testcase passed
SMOKE-017-015,56504,1,1,pass,log inline block time smoke testcase passed
SMOKE-017-016,56505,1,1,pass,enable page based stats testcase passed
SMOKE-019-001,56506,1,1,pass,CVar based transaction name  testcase passed as Home matched with C variable value Home
SMOKE-019-002,56507,1,1,pass,CVar based transaction name  testcase passed as FindFlight matched with C variable value FindFlight
SMOKE-019-003,56508,1,1,pass,CVar based transaction name  testcase passed as Login matched with C variable value Login
SMOKE-019-004,56509,1,1,pass,CVar based transaction name  testcase passed as Reservation matched with C variable value Reservation
SMOKE-020-005,56510,1,1,pass,G_DISABLE_ACCEPT 0 testcase passed
SMOKE-020-006,56511,1,1,pass,G_DISABLE_ACCEPT 1 testcase passed
SMOKE-020-007,56512,1,1,pass,G_DISABLE_HOST 0 testcase passed
SMOKE-020-008,56513,1,1,pass,G_DISABLE_HOST 1 testcase passed
SMOKE-020-009,56514,1,1,pass,G_DISABLE_REUSEADDR 0 smoke test validation passed
SMOKE-020-010,56515,1,1,pass,G_DISABLE_REUSEADDR 1 smoke test validation passed
SMOKE-020-011,56516,1,1,pass,G_DISABLE_USER-AGENT 0 testcase passed
SMOKE-020-012,56517,1,1,pass,G_DISABLE_USER-AGENT 1 testcase passed
SMOKE-020-013,56518,1,1,pass,G_DISABLE_CONNECTION 0 testcase passed
SMOKE-020-014,56519,1,1,pass,G_DISABLE_CONNECTION 1 testcase passed
SMOKE-020-015,56520,1,1,pass,G_USE_RECORDED_HOST_IN_HOST_HDR 0 testcase passed
SMOKE-020-016,56521,1,1,pass,G_USE_RECORDED_HOST_IN_HOST_HDR 1 testcase passed
SMOKE-020-017,56522,1,1,pass,G_DISABLE_ACCEPT-ENCODING 0 testcase passed
SMOKE-020-018,56523,1,1,pass,G_DISABLE_ACCEPT-ENCODING 1 testcase passed
SMOKE-020-019,56524,1,1,pass,G_DISABLE_ALL_HEADER 0 testcase passed
SMOKE-020-020,56525,1,1,pass,G_DISABLE_ALL_HEADER 1 testcase passed
SMOKE-020-021,56526,1,1,pass,G_DISABLE_KEEP-ALIVE 0 testcase passed
SMOKE-020-022,56527,1,1,pass,G_DISABLE_KEEP-ALIVE 1 testcase passed
SMOKE-020-023,56528,1,1,pass,continue on page error mode 0 validation passed
SMOKE-020-024,56529,1,1,pass,continue on page error mode 1 validation passed
SMOKE-020-025,56530,1,1,pass,continue on page error mode 1 validation passed
SMOKE-020-026,56531,1,1,pass,continue on page error mode 1 validation passed
SMOKE-020-027,56532,1,1,pass,idle msec testcase validation passed
SMOKE-020-028,56533,1,1,pass,idle msec testcase validation passed
SMOKE-020-029,56534,1,1,pass,idle msec testcase validation passed
SMOKE-020-030,56535,1,1,pass,max con per vuser testcase passed;as no of expect connection is equal to the exact no of connection
SMOKE-020-031,56536,1,1,pass,max con per vuser testcase passed;as no of expect connection is equal to the exact no of connection
SMOKE-020-032,56537,1,1,pass,max con per vuser testcase passed;as no of expect connection is equal to the exact no of connection
SMOKE-021-001,56538,1,1,pass,page as transaction mode 0 testcase passed
SMOKE-021-002,56539,1,1,pass,page as transaction mode 1 testcase passed
SMOKE-021-003,56540,1,1,pass,page as transaction mode 1 1 testcase passed
SMOKE-021-004,56541,1,1,pass,page as transaction mode 2 1 testcase passed
SMOKE-021-005,56542,1,1,pass,page as transaction mode 3 1 testcase passed
SMOKE-021-006,56543,1,1,pass,nvm testcase passed
SMOKE-021-007,56544,1,1,pass,num nvm testcase passed
SMOKE-021-008,56545,1,1,pass,nvm testcase passed
SMOKE-021-009,56546,1,1,pass,num nvm testcase passed
SMOKE-021-010,56547,1,1,pass,disable cookies testcase passed
SMOKE-021-011,56548,1,1,pass,disable cookies testcase passed
SMOKE-022-001,56549,1,1,pass,session pacing mode 0(no pacing i.e as soon as the previous session ends) testcase validation passed
SMOKE-022-002,56550,1,1,pass,session pacing mode 1 0(fixed delay) testcase validation passed
SMOKE-022-003,56551,1,1,pass,session pacing mode 1 1(fixed delay with internet random values) testcase validation passed
SMOKE-022-004,56552,1,1,pass,session pacing mode 1 1(fixed delay within a time range) testcase validation passed
SMOKE-022-005,56553,1,1,pass,session pacing mode 2 0(once every interval at a fixed interval of) testcase validation passed
SMOKE-022-006,56554,1,1,pass,session pacing mode 2 1(once every interval with an internet random values) testcase validation passed
SMOKE-022-007,56555,1,1,pass,session pacing mode 2 2(once every interval within a range of values) testcase validation passed
SMOKE-022-008,56556,1,1,pass,session pacing keyword with new user on session and first session pacing testcase passed
