#testcaseid,testrun,componentid,catagoryid,status,description
SMOKE-001-001,57402,1,1,pass,ns_save_string() api Passed
SMOKE-001-002,57403,1,1,pass,ns_eval_string() Passed
SMOKE-001-003,57404,1,1,pass,ns_adv_param() Passed
SMOKE-001-004,57405,1,1,pass,ns_adv_param() negative condition Passed
SMOKE-001-005,57406,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-006,57407,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-007,57408,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-008,57409,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-009,57410,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-010,57411,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-011,57412,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-012,57413,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-013,57414,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-014,57415,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-015,57416,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-016,57417,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-017,57418,1,1,pass,Smoke_SET_INT_VAL_API_TEST Passed
SMOKE-001-018,57419,1,1,pass,Smoke_GET_INT_VAL_API_TEST Passed
SMOKE-001-019,57420,1,1,pass,Smoke_GET_RANDOM_STR_API_TEST Passed
SMOKE-001-020,57421,1,1,pass,Smoke_GETTERS_API_TEST Passed
SMOKE-001-021,57422,1,1,pass,Smoke_CHK_STR_CPY_API_TEST Passed
SMOKE-001-024,57423,1,1,pass,Passed for ns_get_url_resp_msg
SMOKE-002-001,57424,1,1,pass,Http authentication basic for apache main param session Passed
SMOKE-002-002,57425,1,1,pass,Http authentication basic for apache main param use Passed
SMOKE-002-003,57426,1,1,pass,Http authentication basic for apache for Page Dump Passed
SMOKE-002-004,57427,1,1,pass,Http authentication basic main with keep alive Passed
SMOKE-002-005,57428,1,1,pass,Http authentication basic main cvfail without keepalive Passed
SMOKE-003-001,57429,1,1,pass,Autofetch one main url five autofetch url Passed
SMOKE-003-002,57430,1,1,pass,Autofetch disabled Passed
SMOKE-003-003,57431,1,1,pass,Autofetch enabled two embedded url Passed
SMOKE-003-004,57432,1,1,pass,Autofetch disabled two embedded url Passed
SMOKE-003-005,57433,1,1,pass,Autofetch Inline Include Domain Passed
SMOKE-003-006,57434,1,1,pass,Autofetch Inline Exclude Domain Passed
SMOKE-003-007,57435,1,1,pass,Autofetch Inline Include Url Pattern Passed
SMOKE-003-008,57436,1,1,pass,Autofetch Inline Exclude Url Pattern Passed
SMOKE-003-009,57437,1,1,pass,No jsp based url being requested after excluding jsp based pattern
