TestCaseName,TestRun,Duration,$TestDescription,$ScriptName,$User,$OEF,$Wan,$HPM,%Url,Pass%,SD_TotalConn,SD_TotalSuccConn,SD_TotalURLHits,SD_TotalSuccURL,Open/Sec,URLHits/Sec,URLFailures,SD_AvgURLTime,SD_MaxURLTime,SD_MinURLTime,SD_TotalTrasHits,SD_TotalSuccTras,SD_TrasHits/Sec,SD_TrasFailures,SD_AvgTrasTime,SD_MaxTrasTime,SD_MinTrasTime,SD_TcpTx,SD_TcpRx,SD_EthTx,SD_EthRx,Close/Sec,SD_CPUBusyNS,SD_CPUBusyNO
throughput,23433,00:03:07,Performance_throughput_128User_OEF_010,script40K,128,0 1 0,0,0,http,100,128,128,515537,515537,0,2756.88,0,0.045,0.089,0.017,0,0,NA,0,-,-,-,1421.517,884140.786,6516.790,927977.523,0,NA,NA
throughput,23434,00:03:09,Performance_throughput_128User_OEF_010_HPM,script40K,128,0 1 0,0,1,http,100,128,128,515598,515598,0,2728.03,0,0.045,0.089,0.010,0,0,NA,0,-,-,-,1406.641,874888.306,6444.823,918265.544,0,NA,NA
throughput,23435,00:03:09,Performance_throughput_128User_OEF_011_HPM,script40K,128,0 1 1,0,1,http,100,128,128,515583,515583,0,2727.95,0,0.045,0.089,0.009,0,0,NA,0,-,-,-,1406.600,874862.853,6444.038,918239.099,0,NA,NA
throughput,23436,00:03:06,Performance_throughput_128User_OEF_111_HPM,script40K,128,1 1 1,0,1,http,100,128,128,515592,515592,0,2772.00,0,0.045,0.088,0.014,0,0,NA,0,-,-,-,1429.312,888989.062,6547.940,933066.652,0,NA,NA
