#testcaseid,testrun,componentid,catagoryid,status,description
SMOKE-001-001,43697,1,1,pass,ns_save_string() api Passed
SMOKE-001-002,43698,1,1,pass,ns_eval_string() Passed
SMOKE-001-003,43699,1,1,pass,ns_adv_param() Passed
SMOKE-001-004,43700,1,1,pass,ns_adv_param() negative condition Passed
SMOKE-001-005,43701,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-006,43702,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-007,43703,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-008,43704,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-009,43705,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-010,43706,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-011,43707,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-012,43708,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-013,43709,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-014,43710,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-015,43711,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-016,43712,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-017,43713,1,1,pass,Smoke_SET_INT_VAL_API_TEST Passed
SMOKE-001-018,43714,1,1,pass,Smoke_GET_INT_VAL_API_TEST Passed
SMOKE-001-019,43715,1,1,pass,Smoke_GET_RANDOM_STR_API_TEST Passed
SMOKE-001-020,43716,1,1,pass,Smoke_GETTERS_API_TEST Passed
SMOKE-001-021,43717,1,1,pass,Smoke_CHK_STR_CPY_API_TEST Passed
SMOKE-001-024,43718,1,1,pass,Passed for ns_get_url_resp_msg
SMOKE-002-001,43719,1,1,pass,Http authentication basic for apache main param session Passed
SMOKE-002-002,43720,1,1,pass,Http authentication basic for apache main param use Passed
SMOKE-002-003,43721,1,1,pass,Http authentication basic for apache for Page Dump Passed
SMOKE-002-004,43722,1,1,pass,Http authentication basic main with keep alive Passed
SMOKE-002-005,43723,1,1,pass,Http authentication basic main cvfail without keepalive Passed
SMOKE-003-001,43724,1,1,pass,Autofetch one main url five autofetch url Passed
SMOKE-003-002,43725,1,1,pass,Autofetch disabled Passed
SMOKE-003-003,43726,1,1,pass,Autofetch enabled two embedded url Passed
SMOKE-003-004,43727,1,1,pass,Autofetch disabled two embedded url Passed
SMOKE-003-005,43728,1,1,pass,Autofetch Inline Include Domain Passed
SMOKE-003-006,43729,1,1,pass,Autofetch Inline Exclude Domain Passed
SMOKE-003-007,43730,1,1,pass,Autofetch Inline Include Url Pattern Passed
SMOKE-003-008,43731,1,1,pass,Autofetch Inline Exclude Url Pattern Passed
SMOKE-003-009,43732,1,1,pass,No jsp based url being requested after excluding jsp based pattern
SMOKE-003-010,43733,1,1,pass,jsp based url being requested after including jsp based pattern
SMOKE-003-011,43734,1,1,pass,js based url were not requested after excluding js+ based pattern
SMOKE-003-012,43735,1,1,pass,jsp inlines have been filtered out but js being included for js? pattern
SMOKE-003-013,43736,1,1,pass,only js and jsp based inlines have been requested for including jsp? pattern
SMOKE-003-014,43737,1,1,pass,jsp and js both inlines have been included for js* pattern
SMOKE-003-015,43738,1,1,pass,jsp and js both inlines have been included for j[sp]+ pattern
SMOKE-003-016,43739,1,1,pass,PostURLCallBack for set embed objects api;mode zero;not implemented
SMOKE-003-017,43740,1,1,pass,PostURLCallBack for set embd objects api;mode one;not implemented
SMOKE-003-018,43741,1,1,pass,PostURLCallBack for set embd objects api;url redirection;not implemented
SMOKE-004-001,43742,1,1,pass,Auto Redirect 10 Depth Server URL and Scenario 2 Depth Redirection Passed
SMOKE-004-002,43743,1,1,pass,Auto Redirect One Depth Server URL with relative path Passed
SMOKE-004-003,43744,1,1,pass,Auto Redirect For Different Host Test Passed
SMOKE-004-004,43745,1,1,pass,Auto Redirect For Relative To Absolute redirection Passed
SMOKE-004-005,43746,1,1,pass,Auto Redirect For Different Protocol Url Passed
SMOKE-004-006,43747,1,1,pass,Validation passed for Manual redirection testcase
SMOKE-005-003,43748,1,1,pass,Four URL Test with expiry code and cookie mode 1  Passed
SMOKE-005-004,43749,1,1,pass,Two URL Test with command line cookie and cookie mode 1 Passed
SMOKE-006-001,43750,1,1,pass,KeepAlive with percentage 100 Passed
SMOKE-006-002,43751,1,1,pass,KeepAlive with percentage 0 Passed
SMOKE-007-001,43752,1,1,pass,One Url MultiPart With Boundary Passed
SMOKE-007-002,43753,1,1,pass,One Url MultiPart Without Boundary Passed
SMOKE-007-003,43754,1,1,pass,One Url MultiPart Nested Boundries Passed
SMOKE-008-001,43755,1,1,pass,Page think time with constant mode Passed
SMOKE-008-002,43756,1,1,pass,Page think time with uniform distribution mode Passed
SMOKE-008-003,43757,1,1,pass,Page think time with internet type distribution mode Passed
SMOKE-008-004,43758,1,1,pass,Page think time keyword for specific page Passed
SMOKE-008-005,43759,1,1,pass,Page think time keyword with overide and multiply values Passed
SMOKE-008-007,43760,1,1,pass,Page think time custom mode 4 vaidation passed
SMOKE-008-008,43761,1,1,pass,Page think time custom mode 4 vaidation passed
SMOKE-008-009,43762,1,1,pass,Page think time custom mode 4 vaidation passed
SMOKE-008-010,43763,1,1,pass,Page think time custom mode 4 vaidation passed
SMOKE-008-011,43764,1,1,pass,page think time mode 4 testcase passed for all groups and all pages
SMOKE-008-012,43765,1,1,pass,page think time mode 4 testcase passed where function returns a random value from an initalized array
SMOKE-009-001,43766,1,1,pass,Search in two main url Passed
SMOKE-009-002,43767,1,1,pass,Search in two main url with savelength mode Passed
SMOKE-009-003,43768,1,1,pass,Search for two main url with save length and save offset mode  Passed
SMOKE-009-004,43769,1,1,pass,Search for two main url with save length and save offset mode Passed
SMOKE-009-005,43770,1,1,pass,Search for two main url with save length and save offset mode in 2 pages Passed
SMOKE-009-006,43771,1,1,pass,Search for two main url with save length and save offset mode in 2 pages Passed
SMOKE-009-007,43772,1,1,pass,Checkpoint with two main url check value found Passed
SMOKE-009-008,43773,1,1,pass,Checkpoint with two main url check value not found Passed
SMOKE-009-009,43774,1,1,pass,Checkpoint with two main url check value with prefix and suffix found Passed
SMOKE-009-010,43775,1,1,pass,Checkpoint with two main url check value with prefix and suffix not found Passed
SMOKE-009-011,43776,1,1,pass,Checkpoint with two main url check value with prefix and suffix found and ActionOnfailContinue Passed
SMOKE-009-012,43777,1,1,pass,Checkpoint with two main url check value with prefix and suffix not found ActionOnfailStop Passed
SMOKE-009-013,43778,1,1,pass,Checkpoint with two main url check value with prefix and suffix found comparing from a file Passed
SMOKE-009-014,43779,1,1,pass,Checkpoint with two main url check value with prefix and suffix not found Passed
SMOKE-009-015,43780,1,1,pass,File Parameter 5 main url ChangeOnUse Passed
SMOKE-009-016,43781,1,1,pass,File Parameter 5 main url ChangeOnSession Passed
SMOKE-009-017,43782,1,1,pass,File Parameter 5 url ModeWeighted Passed
SMOKE-009-018,43783,1,1,pass,Serach Param for two main url Passed
SMOKE-009-019,43784,1,1,fail,Search Param for 5 url with single page search savelenght and saveoffset and ORD all Failed
SMOKE-010-001,43785,1,1,pass,DNS A type query Passed
SMOKE-010-002,43786,1,1,pass,DNS AAAA type query Passed
SMOKE-010-003,43787,1,1,pass,DNS MX type query Passed
SMOKE-010-004,43788,1,1,pass,DNS NS type query Passed
SMOKE-010-005,43789,1,1,pass,DNS SOA type query Passed
SMOKE-010-006,43790,1,1,pass,DNS PTR type query Passed
SMOKE-010-007,43791,1,1,pass,DNS CNAME type query Passed
SMOKE-010-008,43792,1,1,pass,POP3 testcase Passed
SMOKE-010-009,43793,1,1,pass,Ftp test for text data and passive mode Passed
SMOKE-010-010,43794,1,1,pass,Ftp test for binary data and passive mode Passed
SMOKE-010-011,43795,1,1,pass,Ftp test for text data and active mode Passed
SMOKE-010-012,43796,1,1,pass,Ftp test for binary data and active mode Passed
SMOKE-010-013,43797,1,1,pass,SMTP test Passed
SMOKE-010-014,43798,1,1,pass,IMAP test for FETCH HEADER Passed
SMOKE-010-015,43799,1,1,pass,IMAP test for FETCH TEXT Passed
SMOKE-010-016,43800,1,1,pass,IMAP test for FETCH BODY Passed
SMOKE-010-017,43801,1,1,pass,Hessian Protocol version 1.0 Test Passed
SMOKE-010-018,43802,1,1,pass,Hessian Protocol version 2.0 Test Passed
SMOKE-012-001,43803,1,1,pass,Runlogic for percentaged block flow test Passed
SMOKE-012-002,43804,1,1,pass,Runlogic for percentaged block flow test Passed
SMOKE-012-003,43805,1,1,pass,Runlogic for percentaged block flow test Passed
SMOKE-012-004,43806,1,1,pass,Runlogic for sequence flows test Passed
SMOKE-012-005,43807,1,1,pass,Runlogic for handle_switch_case block test Passed
SMOKE-012-006,43808,1,1,pass,Runlogic for handle_switch_case block test Passed
SMOKE-012-007,43809,1,1,pass,Runlogic for handle_switch_case block test Passed
SMOKE-012-008,43810,1,1,pass,Runlogic for handle_switch_case block test Passed
SMOKE-012-009,43811,1,1,pass,Runlogic for handle_switch_case block test Passed
SMOKE-013-001,43812,1,1,pass,SyncPoint Before FirstTrans 10Users all users release Passed
SMOKE-013-002,43813,1,1,pass,SyncPoint Before FirstTrans 10Users 5 users release  Passed
SMOKE-013-003,43814,1,1,pass,SyncPoint Before FirstTrans 10Users 20 users release timeout  Passed
SMOKE-013-004,43815,1,1,pass,SyncPoint In Between Transasctions 10 Users all users release Passed
SMOKE-013-005,43816,1,1,pass,SyncPoint Before First Page 10 Users all users release Passed
SMOKE-013-006,43817,1,1,pass,SyncPoint In Between Pages 10Users 5users release Passed
SMOKE-014-001,43818,1,1,pass,NS add header with Main url Passed
SMOKE-014-002,43819,1,1,pass,NS add header with Embedded url Passed
SMOKE-014-003,43820,1,1,pass,NS add header with both Main and Embedded urls Passed
SMOKE-014-004,43821,1,1,pass,NS auto add header with Main urls Passed
SMOKE-014-005,43822,1,1,pass,NS auto add header with Embedded urls Passed
SMOKE-014-006,43823,1,1,pass,NS auto add header with Mix Mode urls Passed
SMOKE-014-007,43824,1,1,pass,NS clean-up header Passed
SMOKE-014-008,43825,1,1,pass,NS remove auto header Passed
SMOKE-014-009,43826,1,1,pass,NS add and remove header combined Passed
SMOKE-015-001,43827,1,1,pass,NetworkCache test for both cacheable and non-cacheable request Passed
SMOKE-015-002,43828,1,1,pass,NetworkCache test with NetOcean server having default URL Passed
SMOKE-015-003,43829,1,1,pass,NetworkCache test with NetOcean server having parameterized requests Passed
SMOKE-016-001,43830,1,1,pass,do not filter all events will be logged condition verified
SMOKE-016-002,43831,1,1,pass,do not filter all events will be logged condition verified
SMOKE-016-003,43832,1,1,pass,do not filter all events will be logged condition verified
SMOKE-016-004,43833,1,1,pass,do not filter all events will be logged condition verified
SMOKE-016-005,43834,1,1,pass,log events as per event definition file with log event as per state change mode(1) tested
SMOKE-016-006,43835,1,1,pass,Expected timeout events has been logged ;as per event definition file with log event as per events count
SMOKE-016-007,43836,1,1,pass,all CvFail events has been logged;for logging events as per event definition file and event to be logged as per event occurence time
SMOKE-016-008,43837,1,1,pass,log events as per event definition file with no flter(0) mode tested
SMOKE-016-009,43838,1,1,pass,no events being logged for filter all events;no events will be logged configuration setting
SMOKE-017-001,43839,1,1,pass,Inline Delay Mode 1 for single group single page;test validation passed
SMOKE-017-002,43840,1,1,pass,Inline Delay Mode 1 for single group all pages;test validation passed
SMOKE-017-003,43841,1,1,pass,Inline Delay Mode 1 for all groups all pages;test validation passed
SMOKE-017-004,43842,1,1,pass,Inline Delay Mode 2 for single group single page ;test validation passed
SMOKE-017-005,43843,1,1,pass,Inline Delay Mode 2 for single group all pages ;test validation passed
SMOKE-017-006,43844,1,1,pass,Inline Delay Mode 2 for all groups all pages ;test validation passed
SMOKE-017-007,43845,1,1,pass,Inline Delay Mode 3 for single group single page ;test validation passed
SMOKE-017-008,43846,1,1,pass,Inline Delay Mode 3 for single group all pages ;test validation passed
SMOKE-017-009,43847,1,1,pass,Inline Delay Mode 3 for all groups all pages ;test validation passed
SMOKE-017-010,43848,1,1,pass,Inline Delay Mode 4 for single group single page;test validation passed
SMOKE-017-011,43849,1,1,pass,Inline Delay Mode 4 for single group all pages;test validation passed
SMOKE-017-012,43850,1,1,pass,Inline Delay Mode 4 for all groups all pages;test validation passed
SMOKE-017-013,43851,1,1,pass,inline min connection reuse delay for single group smoke testcase passed
