Time-Stamp|Event-ID|Severity|IP:NVM-ID:Session-ID:User-ID|Data-Source-Type|Host|Attribute-Name|Attribute-Value|Description
00:00:00|25|Major|127.0.0.1:255:-1:-1|Core|NSAppliance|File,Function|ns_monitor_server_ctrl_conn.c,make_blocking_cntrl_connection|tcp_client(): Error in making connection to server 192.168.255.2. Error = Connection refused. For sending control message test_run_starts:MON_TEST_RUN=23437;ProgressMsec=10000;MON_NS_VER=3.9.7.24;HB_MISS_COUNT=30;MON_PARTITION_IDX=0%0A to server (192.168.255.2).
00:00:00|2|Major|127.0.0.1:255:-1:-1|Monitor|192.168.255.2|Server,Gdf,Vector|192.168.255.2,cm_mpstat.gdf,Cavisson>NOAppliance>MPStats|tcp_client(): Error in making connection to server 192.168.255.2. Error = Connection refused
00:00:00|2|Major|127.0.0.1:255:-1:-1|Monitor|192.168.255.2|Server,Gdf,Vector|192.168.255.2,cm_mpstat.gdf,Cavisson>NOAppliance>MPStats|Dynamic Vector Monitor failed - Cavisson>NOAppliance>MPStats (cm_mpstat -v noprefix): Error in making connection to server(192.168.255.2)
00:00:00|2|Major|127.0.0.1:255:-1:-1|Monitor|192.168.255.2|Server,Gdf,Vector|192.168.255.2,cm_df.gdf,Cavisson>NOAppliance>DiskStats|tcp_client(): Error in making connection to server 192.168.255.2. Error = Connection refused
00:00:00|2|Major|127.0.0.1:255:-1:-1|Monitor|192.168.255.2|Server,Gdf,Vector|192.168.255.2,cm_df.gdf,Cavisson>NOAppliance>DiskStats|Dynamic Vector Monitor failed - Cavisson>NOAppliance>DiskStats (cm_df -v noprefix): Error in making connection to server(192.168.255.2)
00:00:00|2|Major|127.0.0.1:255:-1:-1|Monitor|192.168.255.2|Server,Gdf,Vector|192.168.255.2,cm_hpd_traffic_stats.gdf,Cavisson>NOAppliance>HPDAllServiceStats|tcp_client(): Error in making connection to server 192.168.255.2. Error = Connection refused
00:00:00|2|Major|127.0.0.1:255:-1:-1|Monitor|192.168.255.2|Server,Gdf,Vector|192.168.255.2,cm_hpd_traffic_stats.gdf,Cavisson>NOAppliance>HPDAllServiceStats|Dynamic Vector Monitor failed - Cavisson>NOAppliance>HPDAllServiceStats (cm_hpd_traffic_stats -v noprefix): Error in making connection to server(192.168.255.2)
00:00:00|2|Major|127.0.0.1:255:-1:-1|Monitor|192.168.255.2|Server,Gdf,Vector|192.168.255.2,cm_iostat_ex.gdf,Cavisson>NOAppliance>DeviceStats|tcp_client(): Error in making connection to server 192.168.255.2. Error = Connection refused
00:00:00|2|Major|127.0.0.1:255:-1:-1|Monitor|192.168.255.2|Server,Gdf,Vector|192.168.255.2,cm_iostat_ex.gdf,Cavisson>NOAppliance>DeviceStats|Dynamic Vector Monitor failed - Cavisson>NOAppliance>DeviceStats (cm_iostat_ex -v noprefix): Error in making connection to server(192.168.255.2)
00:00:00|25|Major|127.0.0.1:255:-1:-1|Core|NSAppliance|File,Function|ns_dynamic_vector_monitor.c,check_results_of_dynamic_vector_mon|Following Dynamic Vector monitors failed (Try attempts = 1):%0ACavisson>NOAppliance>MPStats: Error in making connection to server%2C Cavisson>NOAppliance>DiskStats: Error in making connection to server%2C Cavisson>NOAppliance>HPDAllServiceStats: Error in making connection to server%2C Cavisson>NOAppliance>DeviceStats: Error in making connection to server
