TestID,TestRun,Status,Description
SMOKE_SAVE_DATA_VAR_API_RELATIVE_PATH_TEST,TR2368,PASS,SMOKE_SAVE_DATA_VAR_API_RELATIVE_PATH_TEST Passed
SMOKE_SAVE_DATA_VAR_API_ABSOLUTE_PATH_TEST,TR2369,PASS,SMOKE_SAVE_DATA_VAR_API_ABSOLUTE_PATH_TEST Passed
SMOKE_SAVE_DATA_VAR_API_NO_PERMISSION_FAIL_TEST,TR2370,PASS,SMOKE_SAVE_DATA_VAR_API_NO_PERMISSION_FAIL_TEST Passed
SMOKE_SAVE_DATA_VAR_API_WRONG_PATH_FAIL_TEST,TR2371,PASS,SMOKE_SAVE_DATA_VAR_API_WRONG_PATH_FAIL_TEST Passed
SMOKE_SAVE_DATA_EVAL_API_RELATIVE_PATH_TEST,TR2372,PASS,SMOKE_SAVE_DATA_EVAL_API_RELATIVE_PATH_TEST Passed
SMOKE_SAVE_DATA_EVAL_API_ABSOLUTE_PATH_TEST,TR2373,PASS,SMOKE_SAVE_DATA_EVAL_API_ABSOLUTE_PATH_TEST Passed
SMOKE_SAVE_DATA_EVAL_API_NO_PERMISSION_FAIL_TEST,TR2374,PASS,SMOKE_SAVE_DATA_EVAL_API_NO_PERMISSION_FAIL_TEST Passed
SMOKE_SAVE_DATA_EVAL_API_WRONG_PATH_FAIL_TEST,TR2375,PASS,SMOKE_SAVE_DATA_EVAL_API_WRONG_PATH_FAIL_TEST Passed
SMOKE_SAVE_DATA_EX_API_RELATIVE_PATH_TEST,TR2376,PASS,SMOKE_SAVE_DATA_EX_API_RELATIVE_PATH_TEST Passed
SMOKE_SAVE_DATA_EX_API_ABSOLUTE_PATH_TEST,TR2377,PASS,SMOKE_SAVE_DATA_EX_API_ABSOLUTE_PATH_TEST Passed
SMOKE_SAVE_DATA_EX_API_NO_PERMISSION_FAIL_TEST,TR2378,PASS,SMOKE_SAVE_DATA_EX_API_NO_PERMISSION_FAIL_TEST Passed
SMOKE_SAVE_DATA_EX_API_WRONG_PATH_FAIL_TEST,TR2379,PASS,SMOKE_SAVE_DATA_EX_API_WRONG_PATH_FAIL_TEST Passed

Failed: 0 test(s), Passed: 12 test(s), Total: 12 test(s)
