#testcaseid,testrun,componentid,catagoryid,status,description
REG-001-001,66320,1,2,pass,Reression test for FCU with RampUp in Step mode passed
REG-002-001,66321,1,2,pass,Reression test for FCU with RampUp in Rate mode passed
REG-003-001,66322,1,2,pass,Regression testcase for FSR  Mode 1 test Passed
REG-004-001,66323,1,2,fail,Reression test for FSR Mode 2 failed;For Sessions Started/Minute(NA) where baseline value: 790.800 current value: 745.055 and percentage difference is 6 which is more than expected difference 5%
REG-005-001,66324,1,2,pass,Regression testcase for Replay Access Logs test Passed
REG-006-001,66325,1,2,pass,Regression testcase for NS supported protocols such as POP3 SMTP & FTP test Passed
REG-007-001,66326,1,2,pass,RTC is being applied for Start0 phase;10  have been found in current situation as RTC being applied
REG-007-002,66327,1,2,pass,RTC is being applied for RampUp0 phase;12  have been found in current situation as RTC being applied
REG-007-003,66328,1,2,pass,RTC is being applied for Stabilize0 phase;110  have been found in current situation as RTC being applied
REG-007-004,66329,1,2,pass,RTC is being applied for Duration0 phase;110  have been found in current situation as RTC being applied
REG-007-005,66330,1,2,pass,RTC is being applied for RampDown0 phase;84  have been found in current situation as RTC being applied
REG-007-006,66331,1,2,pass,RTC being applied in all phases correctly;VUSers records were found as expected for each of the phases where RTC applied;Ramp down users count also met to the expected total VUsers count post application of RTC
REG-008-001,66332,1,2,pass,Regression testcase for Replay Access Logs test Passed
REG-010-001,66333,1,2,fail, Percentile testcase failed. For more details about percentile data please find the percentile_data.csv attachment
