TestID, TestRun, Release_Id, Build_Id, Component_Id, Status, Catagory, Description
SMOKE-001-001,14588,4.1.4,7,NetStorm,pass,1,ns_save_string() api Passed
SMOKE-001-002,14589,4.1.4,7,NetStorm,pass,1,ns_eval_string() Passed
SMOKE-001-003,14590,4.1.4,7,NetStorm,pass,1,ns_adv_param() Passed
SMOKE-001-004,14591,4.1.4,7,NetStorm,pass,1,ns_adv_param() negative condition Passed
SMOKE-001-005,14592,4.1.4,7,NetStorm,pass,1,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-006,14593,4.1.4,7,NetStorm,pass,1,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-007,14594,4.1.4,7,NetStorm,pass,1,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-008,14595,4.1.4,7,NetStorm,pass,1,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-009,14596,4.1.4,7,NetStorm,pass,1,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-010,14597,4.1.4,7,NetStorm,pass,1,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-011,14598,4.1.4,7,NetStorm,pass,1,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-012,14599,4.1.4,7,NetStorm,pass,1,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-013,14600,4.1.4,7,NetStorm,pass,1,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-014,14601,4.1.4,7,NetStorm,pass,1,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-015,14602,4.1.4,7,NetStorm,pass,1,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-016,14603,4.1.4,7,NetStorm,pass,1,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-017,14604,4.1.4,7,NetStorm,pass,1,Smoke_SET_INT_VAL_API_TEST Passed
SMOKE-001-018,14605,4.1.4,7,NetStorm,pass,1,Smoke_GET_INT_VAL_API_TEST Passed
SMOKE-001-019,14606,4.1.4,7,NetStorm,pass,1,Smoke_GET_RANDOM_STR_API_TEST Passed
SMOKE-001-020,14607,4.1.4,7,NetStorm,pass,1,Smoke_GETTERS_API_TEST Passed
