Transaction Name|Min (sec)|Avg (sec)|Max (sec)|Std Dev|Attempted|Success|Failure (%)|Completed (Per sec)
hpd_page1_trans1| 0.001| 0.002| 0.128| 0.002|19531|19531| 0.000|12.565
hpd_page2_trans2| 0.000| 0.001| 0.046| 0.001|19531|19531| 0.000|12.565
hpd_page3_trans3| 0.000| 0.001| 0.111| 0.003|19531|19531| 0.000|12.565
hpd_page4_trans4| 0.000| 0.001| 0.195| 0.003|19531|19531| 0.000|12.565
hpd_page5_trans5| 0.000| 0.001| 0.099| 0.003|19531|19531| 0.000|12.565
hpd_page6_trans6| 0.000| 0.002| 0.127| 0.003|19531|19531| 0.000|12.565
hpd_page7_trans7| 0.000| 0.001| 0.072| 0.002|19531|19531| 0.000|12.565
hpd_ex_login| 1.002| 2.514| 4.001| 0.861|8114|8114| 0.000| 5.220
hpd_ex_findflight| 0.000| 0.001| 0.057| 0.003|8114|8114| 0.000| 5.220
hpd_ex_reservation| 1.002| 2.513| 4.099| 0.863|8114|8114| 0.000| 5.220
hpd_ex_logout| 0.000| 0.001| 0.202| 0.004|8114|8114| 0.000| 5.220
hpd_ssl_page1_trans1| 0.002| 0.004| 0.213| 0.004|32880|32880| 0.000|21.154
hpd_ssl_page2_trans2| 0.000| 0.001| 0.136| 0.002|32880|32880| 0.000|21.154
hpd_ssl_page3_trans3| 0.000| 0.001| 0.217| 0.003|32880|32880| 0.000|21.154
hpd_ssl_page4_trans4| 0.000| 0.002| 0.217| 0.004|32880|32880| 0.000|21.154
hpd_ssl_page5_trans5| 0.000| 0.002| 0.139| 0.003|32880|32880| 0.000|21.154
hpd_ssl_page6_trans6| 0.000| 0.002| 0.213| 0.004|32880|32880| 0.000|21.154
hpd_ssl_page7_trans7| 0.000| 0.001| 0.111| 0.002|32880|32880| 0.000|21.154
static1K_page1_trans1| 0.000| 0.001| 0.062| 0.001|8243|8243| 0.000| 5.303
static1K_ex_page1_trans1| 0.000| 0.001| 0.043| 0.001|20494|20494| 0.000|13.185
ALL| 0.000| 0.097| 4.099| 0.508|428070|428070| 0.000|275.403
