#testcaseid,testrun,componentid,catagoryid,status,description
SMOKE-001-001,83267,1,1,pass,ns_save_string() api Passed
SMOKE-001-002,83268,1,1,pass,ns_eval_string() Passed
SMOKE-001-003,83269,1,1,pass,ns_adv_param() Passed
SMOKE-001-004,83270,1,1,pass,ns_adv_param() negative condition Passed
SMOKE-001-005,83271,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-006,83272,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-007,83273,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-008,83274,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-009,83275,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-010,83276,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-011,83277,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-012,83278,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-013,83279,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-014,83280,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-015,83281,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-016,83282,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-017,83283,1,1,pass,Smoke_SET_INT_VAL_API_TEST Passed
SMOKE-001-018,83284,1,1,pass,Smoke_GET_INT_VAL_API_TEST Passed
SMOKE-001-019,83285,1,1,pass,Smoke_GET_RANDOM_STR_API_TEST Passed
SMOKE-001-020,83286,1,1,pass,Smoke_GETTERS_API_TEST Passed
SMOKE-001-021,83287,1,1,pass,Smoke_CHK_STR_CPY_API_TEST Passed
SMOKE-001-024,83288,1,1,pass,Passed for ns_get_url_resp_msg
SMOKE-002-001,83289,1,1,pass,Http authentication basic for apache main param session Passed
SMOKE-002-002,83290,1,1,pass,Http authentication basic for apache main param use Passed
SMOKE-002-003,83291,1,1,pass,Http authentication basic for apache for Page Dump Passed
SMOKE-002-004,83292,1,1,pass,Http authentication basic main with keep alive Passed
SMOKE-002-005,83293,1,1,pass,Http authentication basic main cvfail without keepalive Passed
SMOKE-003-001,83294,1,1,pass,Autofetch one main url five autofetch url Passed
SMOKE-003-002,83295,1,1,pass,Autofetch disabled Passed
SMOKE-003-003,83296,1,1,pass,Autofetch enabled two embedded url Passed
SMOKE-003-004,83297,1,1,pass,Autofetch disabled two embedded url Passed
SMOKE-003-005,83298,1,1,pass,Autofetch Inline Include Domain Passed
SMOKE-003-006,83299,1,1,pass,Autofetch Inline Exclude Domain Passed
