Time-Stamp|Event-ID|Severity|IP:NVM-ID:Session-ID:User-ID|Data-Source-Type|Host|Attribute-Name|Attribute-Value|Description
00:00:00|25|Major|127.0.0.1:255:-1:-1|Core|NSAppliance|File,Function|ns_parent.c,health_check|Disk free space (11%) in file system '/mnt/regression/webapp' is less than or equal to major threshold (20%).
00:00:12|1005|Major|127.0.0.1:1:0:0|Core|NSAppliance|Script,Page,Server,Url|script1K_err,class1_0_html,192.168.255.2:80,GET /custom/samples/response_line/test_411.html HTTP/1.1%0D%0A|Url failed with status 4xx.%0AEvent Data:%0Asrcip = 192.168.255.1 HTTP_REQUEST = GET /custom/samples/response_line/test_411.html HTTP/1.1%0D%0A%2C location_url = (null)%2C redirect_count = 0%2C conn_fd = 20%2C conn_state = 9%2C header_state = -1%2C chunked_state = 0%2C cookie_hash_code = 0%2C cookie_idx = 0%2C gServerTable_idx = 0%2C started_at = 16052%2C connect_time = 0%2C ssl_handshake_time = 0%2C write_complete_time = 0%2C first_byte_rcv_time = 0%2C request_complete_time = 0%2C http_payload_sent = 0%2C tcp_bytes_sent = 471%2C req_ok = 5%2C completion_code = 3%2C num_retries = 0%2C req_code = 411%2C req_code_filled = 0%2C con_init_time = 16052%2C end_time = 0%2C content_length = 7%2C bytes = 7%2C tcp_bytes_recv = 107%2C total_bytes = 0%2C body_offset = 0%2C checksum = 0%2C uid = 0%2C connection_type = 1%2C compression_type = 0%2C num_ka = 5%2C ssl = (nil)%2C chunk_size = 1024%2C old_svr_entry = 0x7f6d0e3f6000%2C buf_head = 0x607fc50%2C cur_buf = 0x607fc50%2C free_array = (nil)%2C send_vector = (nil)%2C bytes_left_to_send = 0%2C num_send_vectors = 0%2C first_vector_offset = 0%2C last_iov_base = (nil) 
00:00:12|5036|Major|127.0.0.1:2:0:0|Core|NSAppliance|Script,Page,Server|tours_ex,findflight,192.168.255.2:80|Page failed with status SizeTooBig%2C Response/Reply size [for mode NotBetweenMinMax] check failed%2C response size=4285%2C min value=100%2C max value=110
00:00:13|1005|Major|127.0.0.1:0:5:4|Core|NSAppliance|Script,Page,Server,Url|PrePostURL,autoredirect_start,192.168.255.2:443,GET /custom/samples/autoredirect/autoredirect.start HTTP/1.1%0D%0A|Url failed with status 4xx.%0AEvent Data:%0Asrcip = 192.168.255.1 HTTPS_REQUEST = GET /custom/samples/autoredirect/autoredirect.start HTTP/1.1%0D%0A%2C location_url = (null)%2C redirect_count = 0%2C conn_fd = 32%2C conn_state = 9%2C header_state = -1%2C chunked_state = 0%2C cookie_hash_code = 0%2C cookie_idx = 0%2C gServerTable_idx = 1%2C started_at = 17519%2C connect_time = 1%2C ssl_handshake_time = 1%2C write_complete_time = 0%2C first_byte_rcv_time = 1%2C request_complete_time = 0%2C http_payload_sent = 0%2C tcp_bytes_sent = 524%2C req_ok = 5%2C completion_code = 3%2C num_retries = 0%2C req_code = 404%2C req_code_filled = 0%2C con_init_time = 17519%2C end_time = 0%2C content_length = 141%2C bytes = 141%2C tcp_bytes_recv = 281%2C total_bytes = 0%2C body_offset = 0%2C checksum = 0%2C uid = 0%2C connection_type = 1%2C compression_type = 0%2C num_ka = 5%2C ssl = 0x60893b0%2C chunk_size = 0%2C old_svr_entry = 0x7f6d0e3f6030%2C buf_head = 0x616f5e0%2C cur_buf = 0x616f5e0%2C free_array = (nil)%2C send_vector = (nil)%2C bytes_left_to_send = 0%2C num_send_vectors = 0%2C first_vector_offset = 0%2C last_iov_base = (nil) 
00:00:13|1005|Major|127.0.0.1:0:5:4|Core|NSAppliance|Script,Page,Server,Url|PrePostURL,autoredirect_secmove,192.168.255.2:443,GET /custom/samples/autoredirect/autoredirect.secmove HTTP/1.1%0D%0A|Url failed with status 4xx.%0AEvent Data:%0Asrcip = 192.168.255.1 HTTPS_REQUEST = GET /custom/samples/autoredirect/autoredirect.secmove HTTP/1.1%0D%0A%2C location_url = (null)%2C redirect_count = 0%2C conn_fd = 32%2C conn_state = 9%2C header_state = -1%2C chunked_state = 0%2C cookie_hash_code = 0%2C cookie_idx = 0%2C gServerTable_idx = 1%2C started_at = 17522%2C connect_time = 0%2C ssl_handshake_time = 0%2C write_complete_time = 0%2C first_byte_rcv_time = 1%2C request_complete_time = 0%2C http_payload_sent = 0%2C tcp_bytes_sent = 605%2C req_ok = 5%2C completion_code = 3%2C num_retries = 0%2C req_code = 404%2C req_code_filled = 0%2C con_init_time = 17522%2C end_time = 0%2C content_length = 141%2C bytes = 141%2C tcp_bytes_recv = 281%2C total_bytes = 0%2C body_offset = 0%2C checksum = 0%2C uid = 0%2C connection_type = 1%2C compression_type = 0%2C num_ka = 5%2C ssl = 0x60893b0%2C chunk_size = 0%2C old_svr_entry = 0x7f6d0e3f6030%2C buf_head = 0x616f890%2C cur_buf = 0x616f890%2C free_array = (nil)%2C send_vector = (nil)%2C bytes_left_to_send = 0%2C num_send_vectors = 0%2C first_vector_offset = 0%2C last_iov_base = (nil) 
00:00:13|1005|Major|127.0.0.1:0:5:4|Core|NSAppliance|Script,Page,Server,Url|PrePostURL,autoredirect_thirdmove,192.168.255.2:443,GET /custom/samples/autoredirect/autoredirect.thirdmove HTTP/1.1%0D%0A|Url failed with status 4xx.%0AEvent Data:%0Asrcip = 192.168.255.1 HTTPS_REQUEST = GET /custom/samples/autoredirect/autoredirect.thirdmove HTTP/1.1%0D%0A%2C location_url = (null)%2C redirect_count = 0%2C conn_fd = 32%2C conn_state = 9%2C header_state = -1%2C chunked_state = 0%2C cookie_hash_code = 0%2C cookie_idx = 0%2C gServerTable_idx = 1%2C started_at = 17523%2C connect_time = 0%2C ssl_handshake_time = 0%2C write_complete_time = 0%2C first_byte_rcv_time = 1%2C request_complete_time = 0%2C http_payload_sent = 0%2C tcp_bytes_sent = 609%2C req_ok = 5%2C completion_code = 3%2C num_retries = 0%2C req_code = 404%2C req_code_filled = 0%2C con_init_time = 17523%2C end_time = 0%2C content_length = 141%2C bytes = 141%2C tcp_bytes_recv = 281%2C total_bytes = 0%2C body_offset = 0%2C checksum = 0%2C uid = 0%2C connection_type = 1%2C compression_type = 0%2C num_ka = 5%2C ssl = 0x60893b0%2C chunk_size = 0%2C old_svr_entry = 0x7f6d0e3f6030%2C buf_head = 0x616fd80%2C cur_buf = 0x616fd80%2C free_array = (nil)%2C send_vector = (nil)%2C bytes_left_to_send = 0%2C num_send_vectors = 0%2C first_vector_offset = 0%2C last_iov_base = (nil) 
00:00:22|1005|Major|127.0.0.1:1:25:37|Core|NSAppliance|Script,Page,Server,Url|script1K_err,class1_0_html,192.168.255.2:80,GET /custom/samples/response_line/test_411.html HTTP/1.1%0D%0A|Url failed with status 4xx.%0AEvent Data:%0Asrcip = 192.168.255.1 HTTP_REQUEST = GET /custom/samples/response_line/test_411.html HTTP/1.1%0D%0A%2C location_url = (null)%2C redirect_count = 0%2C conn_fd = 35%2C conn_state = 9%2C header_state = -1%2C chunked_state = 0%2C cookie_hash_code = 0%2C cookie_idx = 0%2C gServerTable_idx = 0%2C started_at = 26252%2C connect_time = 0%2C ssl_handshake_time = 0%2C write_complete_time = 0%2C first_byte_rcv_time = 0%2C request_complete_time = 0%2C http_payload_sent = 0%2C tcp_bytes_sent = 471%2C req_ok = 5%2C completion_code = 3%2C num_retries = 0%2C req_code = 411%2C req_code_filled = 0%2C con_init_time = 26252%2C end_time = 0%2C content_length = 7%2C bytes = 7%2C tcp_bytes_recv = 107%2C total_bytes = 0%2C body_offset = 0%2C checksum = 0%2C uid = 0%2C connection_type = 1%2C compression_type = 0%2C num_ka = 5%2C ssl = (nil)%2C chunk_size = 0%2C old_svr_entry = 0x7f6d0e3f6000%2C buf_head = 0x61829b0%2C cur_buf = 0x61829b0%2C free_array = (nil)%2C send_vector = (nil)%2C bytes_left_to_send = 0%2C num_send_vectors = 0%2C first_vector_offset = 0%2C last_iov_base = (nil) 
00:00:22|5036|Major|127.0.0.1:2:22:34|Core|NSAppliance|Script,Page,Server|tours_ex,findflight,192.168.255.2:80|Page failed with status SizeTooBig%2C Response/Reply size [for mode NotBetweenMinMax] check failed%2C response size=4285%2C min value=100%2C max value=110
00:00:23|1005|Major|127.0.0.1:0:30:43|Core|NSAppliance|Script,Page,Server,Url|PrePostURL,autoredirect_start,192.168.255.2:443,GET /custom/samples/autoredirect/autoredirect.start HTTP/1.1%0D%0A|Url failed with status 4xx.%0AEvent Data:%0Asrcip = 192.168.255.1 HTTPS_REQUEST = GET /custom/samples/autoredirect/autoredirect.start HTTP/1.1%0D%0A%2C location_url = (null)%2C redirect_count = 0%2C conn_fd = 58%2C conn_state = 9%2C header_state = -1%2C chunked_state = 0%2C cookie_hash_code = 0%2C cookie_idx = 0%2C gServerTable_idx = 1%2C started_at = 27520%2C connect_time = 0%2C ssl_handshake_time = 2%2C write_complete_time = 0%2C first_byte_rcv_time = 0%2C request_complete_time = 0%2C http_payload_sent = 0%2C tcp_bytes_sent = 434%2C req_ok = 5%2C completion_code = 3%2C num_retries = 0%2C req_code = 404%2C req_code_filled = 0%2C con_init_time = 27520%2C end_time = 0%2C content_length = 141%2C bytes = 141%2C tcp_bytes_recv = 281%2C total_bytes = 0%2C body_offset = 0%2C checksum = 0%2C uid = 0%2C connection_type = 1%2C compression_type = 0%2C num_ka = 5%2C ssl = 0x61acfe0%2C chunk_size = 0%2C old_svr_entry = 0x7f6d0e3f6030%2C buf_head = 0x61b04c0%2C cur_buf = 0x61b04c0%2C free_array = (nil)%2C send_vector = (nil)%2C bytes_left_to_send = 0%2C num_send_vectors = 0%2C first_vector_offset = 0%2C last_iov_base = (nil) 
00:00:23|1005|Major|127.0.0.1:0:30:43|Core|NSAppliance|Script,Page,Server,Url|PrePostURL,autoredirect_secmove,192.168.255.2:443,GET /custom/samples/autoredirect/autoredirect.secmove HTTP/1.1%0D%0A|Url failed with status 4xx.%0AEvent Data:%0Asrcip = 192.168.255.1 HTTPS_REQUEST = GET /custom/samples/autoredirect/autoredirect.secmove HTTP/1.1%0D%0A%2C location_url = (null)%2C redirect_count = 0%2C conn_fd = 58%2C conn_state = 9%2C header_state = -1%2C chunked_state = 0%2C cookie_hash_code = 0%2C cookie_idx = 0%2C gServerTable_idx = 1%2C started_at = 27522%2C connect_time = 0%2C ssl_handshake_time = 1%2C write_complete_time = 0%2C first_byte_rcv_time = 0%2C request_complete_time = 0%2C http_payload_sent = 0%2C tcp_bytes_sent = 515%2C req_ok = 5%2C completion_code = 3%2C num_retries = 0%2C req_code = 404%2C req_code_filled = 0%2C con_init_time = 27522%2C end_time = 0%2C content_length = 141%2C bytes = 141%2C tcp_bytes_recv = 281%2C total_bytes = 0%2C body_offset = 0%2C checksum = 0%2C uid = 0%2C connection_type = 1%2C compression_type = 0%2C num_ka = 5%2C ssl = 0x61b8bd0%2C chunk_size = 0%2C old_svr_entry = 0x7f6d0e3f6030%2C buf_head = 0x6197b80%2C cur_buf = 0x6197b80%2C free_array = (nil)%2C send_vector = (nil)%2C bytes_left_to_send = 0%2C num_send_vectors = 0%2C first_vector_offset = 0%2C last_iov_base = (nil) 
