#--------------------------------------------------------------------------------------------------------------
# Name: netstorm_events.dat
# Purpose:
# This file contains list of Event ID, Event Name, Attribute Name List with Seperator (Not yet decided may be
# ',' seperated), Future1, Future2, Future3, Future4 and Event description, all fields should be | separated.
# 
# Format:
# Event ID|Event Name|Attribute Name List|Filtering Mode|Mode Based Param|Future1|Future2|future3|Future4|Event Description
#
# Where
#   Event ID is the event number. This should be unique
#   Event Name is the name of an event. Depends upon event id there should be some fixed event name.
#   Attribute Name List contains atrribute of an event like Machine, Monitor, Process  
#   Filtering Mode is used to specify which event filtering  apply to particular event id.
#   	#define NS_EVENT_NO_FILTER     0
#   	#define NS_EVENT_STATE_FILTER  1
#   	#define NS_EVENT_COUNT_FILTER  2
#   	#define NS_EVENT_TIME_FILTER   3
#   	#define NS_EVENT_ALL_FILTER    9
#
#   Mode Based parameter shoub be count or time. Its based on Filtering Mode. If Filtering mode 0 and 1 then it
#   should be NA. If Filtering mode 2 then its should be 'count' if Filtering mode 3 then it should be 'time'
#   Future1 for future use
#   Future2 for future use
#   Future3 for future use
#   Future4 for future use
#   Event Description is the detail description of an event. Like "Sending message to server" 
#
# Example
#   |For Standard Monitor 
#       |Event Id : 1000-5000
#   |For Custom Monitor ?? How to know which custom monitor?
#       |Event Id : 5001-1000  
#
#--------------------------------------------------------------------------------------------------------------
#Data Monitor Events
1006|5xx|Script,Page,Server,Url|3|10000|NA|NA|NA|NA|5xx
1007|BadBytes|Script,Page,Server,Url|3|10000|NA|NA|NA|NA|BadBytes
1008|T.O|Script,Page,Server,Url|3|10000|NA|NA|NA|NA|T.O
1009|ConFail|Script,Page,Server,Url|3|10000|NA|NA|NA|NA|ConFail
1010|ClickAway|Script,Page,Server,Url|3|10000|NA|NA|NA|NA|ClickAway
1011|WriteFail|Script,Page,Server,Url|3|10000|NA|NA|NA|NA|WriteFail
1012|SSLWriteFail|Script,Page,Server,Url|3|10000|NA|NA|NA|NA|SSLWriteFail
1013|SSLHshakeFail|Script,Page,Server,Url|3|10000|NA|NA|NA|NA|SSLHshakeFail
1014|IncompleteExact|Script,Page,Server,Url|3|10000|NA|NA|NA|NA|IncompleteExact
1015|NoRead|Script,Page,Server,Url|3|10000|NA|NA|NA|NA|NoRead
1016|BadHdr|Script,Page,Server,Url|3|10000|NA|NA|NA|NA|BadHdr
1017|BadBodyNoSize|Script,Page,Server,Url|3|10000|NA|NA|NA|NA|BadBodyNoSize
1018|BadBodyChunked|Script,Page,Server,Url|3|10000|NA|NA|NA|NA|BadBodyChunked
1019|BadBodyConLen|Script,Page,Server,Url|3|10000|NA|NA|NA|NA|BadBodyConLen
1020|Reload|Script,Page,Server,Url|3|10000|NA|NA|NA|NA|Reload
1021|Stopped|Script,Page,Server,Url|3|10000|NA|NA|NA|NA|Stopped
1022|BadResponse|Script,Page,Server,Url|3|10000|NA|NA|NA|NA|BadResponse
1023|MailBoxErr|Script,Page,Server,Url|3|10000|NA|NA|NA|NA|MailBoxErr
1024|MailBoxStorageErr|Script,Page,Server,Url|3|10000|NA|NA|NA|NA|MailBoxStorageErr
1025|AuthFail|Script,Page,Server,Url|3|10000|NA|NA|NA|NA|AuthFail
1026|UseOnceDataOver|Script,Page,Server,Url|3|10000|NA|NA|NA|NA|UseOnceDataIsOverErr
1027|Undef27|Script,Page,Server,Url|3|10000|NA|NA|NA|NA|Undef27
1028|Undef28|Script,Page,Server,Url|3|10000|NA|NA|NA|NA|Undef28
1029|Undef29|Script,Page,Server,Url|3|10000|NA|NA|NA|NA|Undef29
1030|Undef30|Script,Page,Server,Url|3|10000|NA|NA|NA|NA|Undef30
1031|Undef31|Script,Page,Server,Url|3|10000|NA|NA|NA|NA|Undef31
#PAGE ERROR IDS
5032|UrlErr|Script,Page,Server|3|10000|NA|NA|NA|NA|UrlErr
5033|CVFail|Script,Page,Server,CheckSpec|3|10000|NA|NA|NA|NA|CVFail
5034|UnCompFail|Script,Page,Server|3|10000|NA|NA|NA|NA|UnCompFail
5035|SizeTooSmall|Script,Page,Server|3|10000|NA|NA|NA|NA|SizeTooSmall
5036|SizeTooBig|Script,Page,Server|3|10000|NA|NA|NA|NA|SizeTooBig
5037|Undef37|Script,Page,Server|3|10000|NA|NA|NA|NA|Undef37
5038|Undef38|Script,Page,Server|3|10000|NA|NA|NA|NA|Undef38
5039|Undef39|Script,Page,Server|3|10000|NA|NA|NA|NA|Undef39
5040|Undef40|Script,Page,Server|3|10000|NA|NA|NA|NA|Undef40
5041|Undef41|Script,Page,Server|3|10000|NA|NA|NA|NA|Undef41
5042|Undef42|Script,Page,Server|3|10000|NA|NA|NA|NA|Undef42
5043|Undef43|Script,Page,Server|3|10000|NA|NA|NA|NA|Undef43
5044|Undef44|Script,Page,Server|3|10000|NA|NA|NA|NA|Undef44
5045|Undef45|Script,Page,Server|3|10000|NA|NA|NA|NA|Undef45
5046|Undef46|Script,Page,Server|3|10000|NA|NA|NA|NA|Undef46
5047|Undef47|Script,Page,Server|3|10000|NA|NA|NA|NA|Undef47
5048|Undef48|Script,Page,Server|3|10000|NA|NA|NA|NA|Undef48
5049|Undef49|Script,Page,Server|3|10000|NA|NA|NA|NA|Undef49
5050|Undef50|Script,Page,Server|3|10000|NA|NA|NA|NA|Undef50
5051|Undef51|Script,Page,Server|3|10000|NA|NA|NA|NA|Undef51
