#testcaseid,testrun,componentid,catagoryid,status,description
REG-001-001,55420,1,2,fail,Reression test for FCU with RampUp in Step mode failed;because difference of  baseline and current test metric Thinking Vusers(NA) = 100 is more than expected difference 5%
REG-003-001,55422,1,2,pass,Regression testcase for FSR  Mode 1 test Passed
REG-007-001,55426,1,2,pass,RTC is being applied for Start0 phase;10  have been found in current situation as RTC being applied
REG-007-002,55427,1,2,pass,RTC is being applied for RampUp0 phase;12  have been found in current situation as RTC being applied
REG-007-003,55428,1,2,pass,RTC is being applied for Stabilize0 phase;110  have been found in current situation as RTC being applied
REG-007-004,55429,1,2,pass,RTC is being applied for Duration0 phase;110  have been found in current situation as RTC being applied
REG-007-005,55430,1,2,pass,RTC is being applied for RampDown0 phase;85  have been found in current situation as RTC being applied
REG-007-006,55431,1,2,pass,RTC being applied in all phases correctly;VUSers records were found as expected for each of the phases where RTC applied;Ramp down users count also met to the expected total VUsers count post application of RTC
REG-008-001,55432,1,2,fail,Reression test for Replay Access Logs failed;because difference of  baseline and current test metric Running Vusers(NA) = 11 is more than expected difference 5%
REG-010-001,55433,1,2,fail, Percentile testcase failed. For more details about percentile data please find the percentile_data.csv attachment
