Transaction Name|Min (sec)|Avg (sec)|Max (sec)|Std Dev|Attempted|Success|Failure (%)|Completed (Per sec)
authc| 0.000| 0.002| 0.881| 0.015|16395|16395| 0.000|17.434
authorizeBillPay| 0.000| 0.003| 0.977| 0.021|42756|42756| 0.000|45.466
authorizeICT| 0.000| 0.002| 0.522| 0.015|21101|21101| 0.000|22.438
authorizePhoneEnrollment| 0.000| 0.001| 0.021| 0.003|134|134| 0.000| 0.142
ALL| 0.000| 0.003| 0.977| 0.019|80386|80386| 0.000|85.481
