#testcaseid,testrun,componentid,catagoryid,status,description
SMOKE-001-001,28637,1,1,pass,ns_save_string() api Passed
SMOKE-001-002,28638,1,1,pass,ns_eval_string() Passed
SMOKE-001-003,28639,1,1,pass,ns_adv_param() Passed
SMOKE-001-004,28640,1,1,pass,ns_adv_param() negative condition Passed
SMOKE-001-005,28641,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-006,28642,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-007,28643,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-008,28644,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-009,28645,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-010,28646,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-011,28647,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-012,28648,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-013,28649,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-014,28650,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-015,28651,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-016,28652,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-017,28653,1,1,pass,Smoke_SET_INT_VAL_API_TEST Passed
SMOKE-001-018,28654,1,1,pass,Smoke_GET_INT_VAL_API_TEST Passed
SMOKE-001-019,28655,1,1,pass,Smoke_GET_RANDOM_STR_API_TEST Passed
SMOKE-001-020,28656,1,1,pass,Smoke_GETTERS_API_TEST Passed
SMOKE-001-021,28657,1,1,pass,Smoke_CHK_STR_CPY_API_TEST Passed
SMOKE-001-024,28658,1,1,pass,Passed for ns_get_url_resp_msg
SMOKE-002-001,28659,1,1,pass,Http authentication basic for apache main param session Passed
SMOKE-002-002,28660,1,1,pass,Http authentication basic for apache main param use Passed
SMOKE-002-003,28661,1,1,pass,Http authentication basic for apache for Page Dump Passed
SMOKE-002-004,28662,1,1,pass,Http authentication basic main with keep alive Passed
SMOKE-002-005,28663,1,1,pass,Http authentication basic main cvfail without keepalive Passed
SMOKE-003-001,28664,1,1,pass,Autofetch one main url five autofetch url Passed
SMOKE-003-002,28665,1,1,pass,Autofetch disabled Passed
SMOKE-003-003,28666,1,1,pass,Autofetch enabled two embedded url Passed
SMOKE-003-004,28667,1,1,pass,Autofetch disabled two embedded url Passed
SMOKE-003-005,28668,1,1,pass,Autofetch Inline Include Domain Passed
SMOKE-003-006,28669,1,1,pass,Autofetch Inline Exclude Domain Passed
SMOKE-003-007,28670,1,1,pass,Autofetch Inline Include Url Pattern Passed
SMOKE-003-008,28671,1,1,pass,Autofetch Inline Exclude Url Pattern Passed
SMOKE-003-009,28672,1,1,pass,No jsp based url being requested after excluding jsp based pattern
SMOKE-003-010,28673,1,1,pass,jsp based url being requested after including jsp based pattern
SMOKE-003-011,28674,1,1,pass,js based url were not requested after excluding js+ based pattern
SMOKE-003-012,28675,1,1,pass,jsp inlines have been filtered out but js being included for js? pattern
SMOKE-003-013,28676,1,1,pass,only js and jsp based inlines have been requested for including jsp? pattern
SMOKE-003-014,28677,1,1,pass,jsp and js both inlines have been included for js* pattern
