#testcaseid,testrun,componentid,catagoryid,status,description
SMOKE-001-001,10096,1,1,pass,ns_save_string() api Passed
SMOKE-001-002,10097,1,1,pass,ns_eval_string() Passed
SMOKE-001-003,10098,1,1,pass,ns_adv_param() Passed
SMOKE-001-004,10099,1,1,pass,ns_adv_param() negative condition Passed
SMOKE-001-005,10100,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-006,10101,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-007,10102,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-008,10103,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-009,10104,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-010,10105,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-011,10106,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-012,10107,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-013,10108,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-014,10109,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-015,10110,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-016,10111,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-017,10112,1,1,pass,Smoke_SET_INT_VAL_API_TEST Passed
SMOKE-001-018,10113,1,1,pass,Smoke_GET_INT_VAL_API_TEST Passed
SMOKE-001-019,10114,1,1,pass,Smoke_GET_RANDOM_STR_API_TEST Passed
SMOKE-001-020,10115,1,1,pass,Smoke_GETTERS_API_TEST Passed
SMOKE-001-021,10116,1,1,pass,Smoke_CHK_STR_CPY_API_TEST Passed
SMOKE-001-024,10117,1,1,pass,Passed for ns_get_url_resp_msg
SMOKE-002-001,10118,1,1,pass,Http authentication basic for apache main param session Passed
